gene,status,insdens
G134,0,0.006802721
G135,0,0.009852217
G136,0,0.000761035
G137,0,0.005229838
G138,0,0.016750419
G139,1,0.000721501
G140,0,0.007342144
G141,0,0.001902588
G142,0,0.007113821
G143,1,0.002409639
G144,0,0.006756757
G145,1,0.001267427
G146,0,0.004975124
G147,0,0.008687019
G148,0,0.003556911
G149,0,0.003367003
G150,1,0.001579779
G151,0,0.002057613
G152,1,0.003584229
G153,0,0.01754386
G154,0,0.006357856
G155,0,0.000980392
G156,0,0.018112156
G157,1,0.001103753
G158,0,0.007423905
G159,1,0.001821494
G160,0,0.004444444
G161,0,0.00170068
G162,0,0.012012012
G163,0,0.003623188
G164,0,0.005813953
G165,0,0.018284107
G166,1,0.007407407
G167,0,0.005649718
G168,0,0.00101626
G169,0,0.016847172
G170,1,0.002898551
G171,0,0.00297619
G172,1,0.003384095
G173,0,0.004651163
G174,1,0.000747384
G175,1,0.001745201
G176,0,0.003792188
G177,1,0.001675042
G178,0,0.001317523
G179,0,0.008928571
G180,1,0.004761905
G181,0,0.012820513
G182,0,0.002185792
G183,0,0.002680965
G184,0,0.001966568
G185,0,0.001736111
G186,0,0.003724395
G187,0,0.001317523
G188,0,0.005270092
G189,0,0.011420414
G190,0,0.001133787
G191,0,0.009781791
G192,0,0.00093633
G193,0,0.011769172
G194,0,0.001675042
G195,0,0.010498688
G196,0,0.007077141
G197,0,0.003384095
G198,0,0.005555556
G199,0,0.020833333
G200,0,0.027777778
G201,0,0.022012579
G202,0,0.003861004
G203,0,0.004964011
G204,0,0.000949668
G205,0,0.003584229
G206,0,0.002645503
G207,0,0.008333333
G208,0,0.001141553
G209,0,0.006666667
G210,0,0.001256281
G211,0,0.004149378
G212,0,0.00265252
G213,0,0.003115265
G214,0,0.014184397
G215,0,0.005208333
G216,0,0.007843137
G217,0,0.004397537
G218,0,0.00634058
G219,0,0.002949853
G220,0,0.007092199
G221,0,0.001194743
G222,0,0.004098361
G223,0,0.009661836
G224,0,0.00877193
G225,0,0.004761905
G226,0,0.005208333
G227,0,0.0041841
G228,0,0.007285974
G229,0,0.001199041
G230,0,0.0125
G231,0,0.0056899
G232,0,0.006666667
G233,0,0.013071895
G234,0,0.010351967
G235,0,0.017749379
G236,0,0.003814974
G237,0,0.001754386
G238,0,0.01369863
G239,0,0.002229654
G240,0,0.002026342
G241,0,0.003787879
G242,0,0.005192108
G243,0,0.000879507
G244,0,0.003125
G245,0,0.001763668
G246,0,0.004796163
G247,0,0.01010101
G248,0,0.005847953
G249,0,0.002688172
G250,0,0.00729927
G251,0,0.001932367
G252,0,0.004134367
G253,0,0.004166667
G254,0,0.009489917
G255,0,0.00408998
G256,0,0.001650165
G257,0,0.01407212
G258,0,0.006918239
G259,0,0.002710027
G260,0,0.006564551
G261,0,0.006472492
G262,0,0.00973236
G263,0,0.004550626
G264,0,0.010752688
G265,0,0.004444444
G266,0,0.001718213
G267,0,0.006019564
G268,0,0.006615991
G269,0,0.009762901
G270,0,0.017857143
G271,0,0.003853565
G272,0,0.00729927
G273,0,0.004259851
G274,0,0.008291874
G275,0,0.003333333
G276,0,0.004830918
G277,0,0.008613264
G278,0,0.009009009
G279,0,0.012865497
G280,0,0.001587302
G281,0,0.008385744
G282,0,0.004662005
G283,0,0.015015015
G284,0,0.006535948
G285,0,0.010282776
G286,0,0.003003003
G287,0,0.010860485
G288,0,0.004975124
G289,0,0.002583979
G290,0,0.003724395
G291,0,0.004748338
G292,0,0.003184713
G293,0,0.003472222
G294,0,0.00486618
G295,0,0.004301075
G296,0,0.010416667
G297,0,0.003638017
G298,0,0.00913242
G299,0,0.009090909
G300,0,0.003360215
G301,0,0.004262575
G302,0,0.009446694
G303,0,0.009389671
G304,0,0.009569378
G305,0,0.00714924
G306,0,0.005354752
G307,0,0.005524862
G308,0,0.002103049
G309,0,0.008519702
G310,0,0.001338688
G311,0,0.037398374
G312,0,0.007386888
G313,0,0.015228426
G314,0,0.007077141
G315,0,0.005457599
G316,0,0.009641873
G317,0,0.015659955
G318,0,0.007751938
G319,0,0.001709402
G320,0,0.001926782
G321,0,0.014285714
G322,0,0.008326156
G323,0,0.004106776
G324,0,0.000900901
G325,0,0.003703704
G326,0,0.006535948
G327,0,0.001896094
G328,0,0.011670314
G329,0,0.001626016
G330,0,0.007407407
G331,0,0.009070295
G332,0,0.022875817
G333,0,0.009370817
G334,0,0.010928962
G335,0,0.005108557
G336,0,0.001478197
G337,0,0.008843537
G338,0,0.005868545
G339,0,0.003831418
G340,0,0.00312989
G341,0,0.011299435
G342,0,0.00348675
G343,0,0.00318218
G344,0,0.007936508
G345,0,0.003095975
G346,0,0.002428658
G347,0,0.001594896
G348,0,0.016260163
G349,0,0.016203704
G350,0,0.002754821
G351,0,0.005698006
G352,0,0.011185682
G353,0,0.002554278
G354,0,0.004045307
G355,0,0.00913242
G356,0,0.012820513
G357,0,0.000819001
G358,0,0.003633061
G359,0,0.007201646
G360,0,0.002123142
G361,0,0.00140647
G362,0,0.003215434
G363,0,0.015258216
G364,0,0.000835422
G365,0,0.001241465
G366,0,0.006265664
G367,0,0.001754386
G368,0,0.001272265
G369,0,0.004830918
G370,0,0.001736111
G371,0,0.003305785
G372,0,0.006802721
G373,0,0.002969562
G374,0,0.000848176
G375,0,0.007054674
G376,0,0.011061947
G377,0,0.006016847
G378,0,0.008032129
G379,0,0.007960199
G380,0,0.005509642
G381,0,0.003663004
G382,0,0.011255411
G383,0,0.002081475
G384,0,0.010416667
G385,0,0.004587156
G386,0,0.004728132
G387,0,0.00913242
G388,0,0.011965812
G389,0,0.010752688
G390,0,0.002699055
G391,0,0.002923977
G392,0,0.001071811
G393,0,0.006060606
G394,0,0.005813953
G395,0,0.012300123
G396,0,0.006289308
G397,0,0.00486618
G398,0,0.057291667
G399,0,0.003636364
G400,0,0.007017544
G401,0,0.000865801
G402,0,0.001216545
G403,0,0.001349528
G404,0,0.002020202
G405,0,0.005661713
G406,0,0.00456621
G407,0,0.008595989
G408,0,0.002389486
G409,0,0.006802721
G410,0,0.005673759
G411,0,0.002604167
G412,0,0.019900498
G413,0,0.003424658
G414,0,0.026041667
G415,0,0.001947691
G416,0,0.007963595
G417,0,0.021178637
G418,0,0.013550136
G419,0,0.002972399
G420,0,0.006187162
G421,0,0.001669449
G422,0,0.002484913
G423,0,0.005081301
G424,0,0.013586957
G425,0,0.005847953
G426,0,0.022075055
G427,0,0.008393285
G428,0,0.003649635
G429,0,0.001141553
G430,0,0.001489203
G431,0,0.005081301
G432,0,0.007834758
G433,0,0.011235955
G434,0,0.002083333
G435,0,0.001529052
G436,0,0.010526316
G437,0,0.002604167
G438,0,0.000833333
G439,0,0.00357462
G440,0,0.007751938
G441,0,0.006246451
G442,0,0.011376564
G443,0,0.015398551
G444,0,0.007179487
G445,0,0.006410256
G446,0,0.004504505
G447,0,0.009569378
G448,0,0.001984127
G449,0,0.002482005
G450,0,0.007751938
G451,0,0.003205128
G452,0,0.001494768
G453,0,0.012711864
G454,0,0.001754386
G455,0,0.009649123
G456,0,0.012531328
G457,0,0.015151515
G458,0,0.005868545
G459,0,0.011494253
G460,0,0.002309469
G461,0,0.008307373
G462,0,0.001883239
G463,0,0.002614379
G464,0,0.004371585
G465,0,0.012715713
G466,0,0.00608828
G467,0,0.000713776
G468,0,0.007168459
G469,0,0.01660281
G470,0,0.011560694
G471,0,0.014492754
G472,0,0.012027491
G473,0,0.006625259
G474,0,0.004357298
G475,0,0.012738854
G476,0,0.004385965
G477,0,0.002695418
G478,0,0.002136752
G479,0,0.005847953
G480,0,0.011278195
G481,0,0.002123142
G482,0,0.002339181
G483,0,0.018666667
G484,0,0.012048193
G485,0,0.008591065
G486,0,0.001436782
G487,0,0.002569493
G488,0,0.004830918
G489,0,0.004205214
G490,0,0.003866976
G491,0,0.004535147
G492,0,0.002849003
G493,0,0.00962963
G494,0,0.001325381
G495,0,0.022341376
G496,0,0.001846722
G497,0,0.00281294
G498,0,0.003441495
G499,0,0.005354752
G500,0,0.001760563
G501,0,0.002728513
G502,0,0.003921569
G503,0,0.008928571
G504,0,0.007440476
G505,0,0.005376344
G506,0,0.012260536
G507,0,0.003875969
G508,0,0.006343714
G509,0,0.016706444
G510,0,0.004694836
G511,0,0.010964912
G512,0,0.007263923
G513,0,0.022222222
G514,0,0.010309278
G515,0,0.004246285
G516,0,0.00617284
G517,0,0.005847953
G518,0,0.005952381
G519,0,0.00952381
G520,0,0.007662835
G521,0,0.001317523
G522,0,0.010638298
G523,0,0.000835422
G524,0,0.003194888
G525,0,0.003921569
G526,0,0.008823529
G527,0,0.010362694
G528,0,0.001801802
G529,0,0.003898635
G530,0,0.004796163
G531,0,0.008130081
G532,0,0.009370817
G533,0,0.002956081
G534,0,0.00880088
G535,0,0.010351967
G536,0,0.00456621
G537,0,0.010709505
G538,0,0.003745318
G539,0,0.005159959
G540,0,0.006802721
G541,0,0.003724395
G542,0,0.00177305
G543,0,0.010536398
G544,0,0.003777148
G545,0,0.013114754
G546,0,0.004651163
G547,0,0.011725293
G548,0,0.003039514
G549,0,0.00913242
G550,0,0.009963768
G551,0,0.00880088
G552,0,0.00331675
G553,0,0.003401361
G554,0,0.002020202
G555,0,0.00286123
G556,0,0.003875969
G557,0,0.010328638
G558,0,0.013280212
G559,0,0.006849315
G560,0,0.00877193
G561,0,0.011507053
G562,0,0.010191083
G563,0,0.015151515
G564,0,0.003436426
G565,0,0.001010101
G566,0,0.00304878
G567,0,0.007880221
G568,0,0.002070393
G569,0,0.009752699
G570,0,0.001924557
G571,0,0.012820513
G572,0,0.009345794
G573,0,0.004761905
G574,0,0.006976744
G575,0,0.002873563
G576,0,0.009389671
G577,0,0.008073818
G578,0,0.002207506
G579,0,0.002008032
G580,0,0.001915709
G581,0,0.008706468
G582,0,0.001984127
G583,0,0.00990099
G584,0,0.002359882
G585,0,0.008032129
G586,0,0.008073818
G587,0,0.003159558
G588,0,0.001960784
G589,0,0.01344086
G590,0,0.002688172
G591,0,0.002403846
G592,0,0.003035823
G593,0,0.011547344
G594,0,0.003933137
G595,0,0.003100775
G596,0,0.016224189
G597,0,0.001424501
G598,0,0.010840108
G599,0,0.003875969
G600,0,0.004219409
G601,0,0.008307373
G602,0,0.005138986
G603,0,0.003341688
G604,0,0.001893939
G605,0,0.012987013
G606,0,0.016277424
G607,0,0.011820331
G608,0,0.002398082
G609,0,0.003115265
G610,0,0.008417508
G611,0,0.004459309
G612,0,0.0208901
G613,0,0.026315789
G614,0,0.003077652
G615,0,0.010964912
G616,0,0.001874766
G617,0,0.006382979
G618,0,0.002754821
G619,0,0.003333333
G620,0,0.002887789
G621,0,0.001214329
G622,0,0.001769912
G623,0,0.007289596
G624,0,0.002989537
G625,0,0.006130268
G626,0,0.009977827
G627,0,0.006245121
G628,0,0.000795545
G629,0,0.005747126
G630,0,0.002583979
G631,0,0.003387534
G632,0,0.003623188
G633,0,0.01407212
G634,0,0.020671835
G635,0,0.021929825
G636,0,0.002306805
G637,0,0.028776978
G638,0,0.005668934
G639,0,0.00204499
G640,0,0.01010101
G641,0,0.008686211
G642,0,0.00456621
G643,0,0.001697793
G644,0,0.00776583
G645,0,0.006775068
G646,0,0.003597122
G647,0,0.004550626
G648,0,0.014492754
G649,0,0.004415011
G650,0,0.007490637
G651,0,0.001048218
G652,0,0.002724796
G653,0,0.001718213
G654,0,0.006700168
G655,0,0.002873563
G656,0,0.006535948
G657,0,0.006060606
G658,0,0.008547009
G659,0,0.008196721
G660,0,0.013409962
G661,0,0.001143511
G662,0,0.000564016
G663,0,0.005291005
G664,0,0.002754821
G665,0,0.003333333
G666,0,0.001984127
G667,0,0.010262258
G668,0,0.002070393
G669,0,0.004926108
G670,0,0.000865801
G671,0,0.00913242
G672,0,0.001212121
G673,0,0.001022495
G674,0,0.001312336
G675,0,0.010224949
G676,0,0.001165501
G677,0,0.026041667
G678,0,0.00810537
G679,0,0.003745318
G680,0,0.014202172
G681,0,0.002923977
G682,0,0.00130719
G683,0,0.007168459
G684,0,0.018115942
G685,0,0.007824726
G686,0,0.007374631
G687,0,0.003267974
G688,0,0.007829978
G689,0,0.001266892
G690,0,0.030487805
G691,0,0.008357915
G692,0,0.007936508
G693,0,0.001169591
G694,0,0.005012531
G695,0,0.005376344
G696,0,0.033195021
G697,0,0.003058104
G698,0,0.00975976
G699,0,0.001494768
G700,0,0.010647011
G701,0,0.006944444
G702,0,0.003787879
G703,0,0.006944444
G704,0,0.00462963
G705,0,0.005537099
G706,0,0.012791573
G707,0,0.002066116
G708,0,0.001262626
G709,0,0.01336675
G710,0,0.001692047
G711,0,0.003003003
G712,0,0.008818342
G713,0,0.009101251
G714,0,0.016025641
G715,0,0.005065856
G716,0,0.002229654
G717,0,0.018238994
G718,0,0.00960961
G719,0,0.011164274
G720,0,0.00524109
G721,0,0.00154679
G722,0,0.007382169
G723,0,0.01031746
G724,0,0.001103753
G725,0,0.003311258
G726,0,0.00486618
G727,0,0.005899705
G728,0,0.002380952
G729,0,0.00877193
G730,0,0.014355742
G731,0,0.008080808
G732,0,0.009608278
G733,0,0.014814815
G734,0,0.003628823
G735,0,0.01826484
G736,0,0.00140056
G737,0,0.001896633
G738,0,0.004153686
G739,0,0.008352316
G740,0,0.006993007
G741,0,0.016897081
G742,0,0.003035823
G743,0,0.008658009
G744,0,0.004166667
G745,0,0.025974026
G746,0,0.010552452
G747,0,0.002487562
G748,0,0.001639344
G749,0,0.008106819
G750,0,0.006156552
G751,0,0.01048218
G752,0,0.009661836
G753,0,0.01048218
G754,0,0.003875969
G755,0,0.002339181
G756,0,0.00952381
G757,0,0.003392706
G758,0,0.005208333
G759,0,0.001013171
G760,0,0.002923977
G761,0,0.001652502
G762,0,0.012953368
G763,0,0.022222222
G764,0,0.008695652
G765,0,0.003921569
G766,0,0.002941176
G767,0,0.00267455
G768,0,0.002915452
G769,0,0.008187135
G770,0,0.006944444
G771,0,0.003875969
G772,0,0.005408063
G773,0,0.011217949
G774,0,0.005327245
G775,0,0.009259259
G776,0,0.007246377
G777,0,0.001207729
G778,0,0.005509642
G779,0,0.006785411
G780,0,0.003866976
G781,0,0.002298851
G782,0,0.012295082
G783,0,0.002380952
G784,0,0.002217295
G785,0,0.002754821
G786,0,0.00836184
G787,0,0.010446344
G788,0,0.014749263
G789,0,0.001068376
G790,0,0.002906977
G791,0,0.01754386
G792,0,0.001199041
G793,0,0.006887052
G794,0,0.002777778
G795,0,0.002604167
G796,0,0.00192123
G797,0,0.007733952
G798,0,0.004581901
G799,0,0.002985075
G800,0,0.006802721
G801,0,0.000859107
G802,0,0.004166667
G803,0,0.009259259
G804,0,0.000986193
G805,0,0.006704981
G806,0,0.003159558
G807,0,0.002949853
G808,0,0.004402516
G809,0,0.008928571
G810,0,0.004489338
G811,0,0.004291845
G812,0,0.004694836
G813,0,0.009870919
G814,0,0.003875969
G815,0,0.009966777
G816,0,0.001242236
G817,0,0.001602564
G818,0,0.00273224
G819,0,0.002415459
G820,0,0.015555556
G821,0,0.004166667
G822,0,0.002380952
G823,0,0.003663004
G824,0,0.006160164
G825,0,0.001579779
G826,0,0.00669344
G827,0,0.007092199
G828,0,0.00660066
G829,0,0.00177305
G830,0,0.007246377
G831,0,0.006802721
G832,0,0.001831502
G833,0,0.008255934
G834,0,0.007352941
G835,0,0.004474273
G836,0,0.001338688
G837,0,0.013550136
G838,0,0.003527337
G839,0,0.003058104
G840,0,0.007507508
G841,0,0.006265664
G842,0,0.001199041
G843,0,0.002849003
G844,0,0.004985755
G845,0,0.004273504
G846,0,0.00913242
G847,0,0.010928962
G848,0,0.003003003
G849,0,0.002136752
G850,0,0.005780347
G851,0,0.001424501
G852,0,0.001328021
G853,0,0.012987013
G854,0,0.001949318
G855,0,0.002222222
G856,0,0.002347418
G857,0,0.003389831
G858,0,0.00877193
G859,0,0.00971984
G860,0,0.011037528
G861,0,0.005208333
G862,0,0.002677376
G863,0,0.003623188
G864,0,0.005291005
G865,0,0.003225806
G866,0,0.002663623
G867,0,0.006973501
G868,0,0.001960784
G869,0,0.015706806
G870,0,0.003278689
G871,0,0.003267974
G872,0,0.004830918
G873,0,0.004535147
G874,0,0.011396011
G875,0,0.007469655
G876,0,0.000564016
G877,0,0.012121212
G878,0,0.000412541
G879,0,0.010416667
G880,0,0.006382979
G881,0,0.009718173
G882,0,0.014048531
G883,0,0.011337868
G884,0,0.004694836
G885,0,0.002173913
G886,0,0.001338688
G887,0,0.009345794
G888,0,0.011235955
G889,0,0.003546099
G890,0,0.002169197
G891,0,0.007984032
G892,0,0.00456621
G893,0,0.001745201
G894,0,0.005196733
G895,0,0.000747384
G896,0,0.015394913
G897,0,0.018799711
G898,0,0.004192872
G899,0,0.002754821
G900,0,0.003539823
G901,0,0.00265252
G902,0,0.00101626
G903,0,0.010110021
G904,0,0.00243309
G905,0,0.006006006
G906,0,0.010155317
G907,0,0.00686553
G908,0,0.00795756
G909,0,0.00280112
G910,0,0.001872659
G911,0,0.002178649
G912,0,0.005081301
G913,0,0.003623188
G914,0,0.008928571
G915,0,0.005185185
G916,0,0.00400641
G917,0,0.003367003
G918,0,0.002737851
G919,0,0.007130125
G920,0,0.001133787
G921,0,0.003079292
G922,0,0.00159109
G923,0,0.004830918
G924,0,0.012152778
G925,0,0.004187605
G926,0,0.014957265
G927,0,0.002277904
G928,0,0.007662835
G929,0,0.005376344
G930,0,0.010416667
G931,0,0.002962963
G932,0,0.006993007
G933,0,0.001960784
G934,0,0.012820513
G935,0,0.007936508
G936,0,0.000821018
G937,0,0.01010101
G938,0,0.00394011
G939,0,0.00486618
G940,0,0.008928571
G941,0,0.013550136
G942,0,0.002364066
G943,0,0.002645503
G944,0,0.002275313
G945,0,0.011904762
G946,0,0.006289308
G947,0,0.007157464
G948,0,0.003968254
G949,0,0.021218344
G950,0,0.005688282
G951,0,0.013487476
G952,0,0.001862197
G953,0,0.00669344
G954,0,0.016260163
G955,0,0.006734007
G956,0,0.005649718
G957,0,0.010309278
G958,0,0.003115265
G959,0,0.003623188
G960,0,0.002849003
G961,0,0.004678363
G962,0,0.007950028
G963,0,0.02283105
G964,0,0.009148085
G965,0,0.000868056
G966,0,0.003521127
G967,0,0.002941176
G968,0,0.012278308
G969,0,0.004704301
G970,0,0.00744879
G971,0,0.014285714
G972,0,0.002438175
G973,0,0.006116208
G974,0,0.018518519
G975,0,0.001129944
G976,0,0.0025
G977,0,0.007057546
G978,0,0.004581901
G979,0,0.00178731
G980,0,0.004761905
G981,0,0.014018692
G982,0,0.001960784
G983,0,0.003933137
G984,0,0.006289308
G985,0,0.002754821
G986,0,0.006734007
G987,0,0.011323425
G988,0,0.00245098
G989,0,0.001169591
G990,0,0.00809307
G991,0,0.003401361
G992,0,0.008714597
G993,0,0.007662835
G994,0,0.001256281
G995,0,0.003174603
G996,0,0.002506266
G997,0,0.001474926
G998,0,0.004721435
G999,0,0.000760167
G1000,0,0.003745318
G1001,0,0.006965174
G1002,0,0.003341688
G1003,0,0.012886598
G1004,0,0.007751938
G1005,0,0.008130081
G1006,0,0.007168459
G1007,0,0.001173709
G1008,0,0.003144654
G1009,0,0.016924209
G1010,0,0.011560694
G1011,0,0.001253133
G1012,0,0.017708333
G1013,0,0.002389486
G1014,0,0.002570694
G1015,0,0.00390625
G1016,0,0.014084507
G1017,0,0.00191022
G1018,0,0.009276438
G1019,0,0.008878128
G1020,0,0.007246377
G1021,0,0.00669344
G1022,0,0.018315018
G1023,0,0.017857143
G1024,0,0.00488145
G1025,0,0.008481764
G1026,0,0.004694836
G1027,0,0.014869888
G1028,0,0.004301075
G1029,0,0.001650165
G1030,0,0.016771488
G1031,0,0.001650165
G1032,0,0.003663004
G1033,0,0.013487476
G1034,0,0.004975124
G1035,0,0.009803922
G1036,0,0.001075269
G1037,0,0.000505817
G1038,0,0.003387534
G1039,0,0.009009009
G1040,0,0.001173709
G1041,0,0.011248594
G1042,0,0.002415459
G1043,0,0.002824859
G1044,0,0.000859107
G1045,0,0.014957265
G1046,0,0.014354067
G1047,0,0.002359882
G1048,0,0.013157895
G1049,0,0.000761035
G1050,0,0.002824859
G1051,0,0.022792023
G1052,0,0.002214839
G1053,0,0.012820513
G1054,0,0.014423077
G1055,0,0.001051525
G1056,0,0.012539185
G1057,0,0.000677507
G1058,0,0.013774105
G1059,0,0.001051525
G1060,0,0.003921569
G1061,0,0.014326648
G1062,0,0.005716799
G1063,0,0.010869565
G1064,0,0.011173184
G1065,0,0.001103753
G1066,0,0.014056225
G1067,0,0.003842459
G1068,0,0.01147541
G1069,0,0.001745201
G1070,0,0.000620732
G1071,0,0.009389671
G1072,0,0.005291005
G1073,0,0.000980392
G1074,0,0.003436426
G1075,0,0.003831418
G1076,0,0.001926782
G1077,0,0.00708278
G1078,0,0.004370282
G1079,0,0.006134969
G1080,0,0.005076142
G1081,0,0.007984032
G1082,0,0.002123142
G1083,0,0.006309148
G1084,0,0.003703704
G1085,0,0.025641026
G1086,0,0.008071025
G1087,0,0.006605691
G1088,0,0.005376344
G1089,0,0.001984127
G1090,0,0.008064516
G1091,0,0.003745318
G1092,0,0.009917355
G1093,0,0.010204082
G1094,0,0.006140351
G1095,0,0.003311258
G1096,0,0.004273504
G1097,0,0.001606426
G1098,0,0.012222222
G1099,0,0.002083333
G1100,0,0.002057613
G1101,0,0.003921569
G1102,0,0.00921659
G1103,0,0.007866273
G1104,0,0.007532957
G1105,0,0.010314875
G1106,0,0.006666667
G1107,0,0.008928571
G1108,0,0.011415525
G1109,0,0.003255208
G1110,0,0.015151515
G1111,0,0.003540718
G1112,0,0.002326934
G1113,0,0.00257732
G1114,0,0.015350877
G1115,0,0.002973536
G1116,0,0.009230769
G1117,0,0.00248293
G1118,0,0.009584665
G1119,0,0.002547771
G1120,0,0.001355014
G1121,0,0.011904762
G1122,0,0.00297619
G1123,0,0.003333333
G1124,0,0.001947691
G1125,0,0.008746356
G1126,0,0.002873563
G1127,0,0.001028807
G1128,0,0.010928962
G1129,0,0.001013171
G1130,0,0.012295082
G1131,0,0.004016064
G1132,0,0.003003003
G1133,0,0.002506266
G1134,0,0.004694836
G1135,0,0.013856813
G1136,0,0.009433962
G1137,0,0.001576044
G1138,0,0.004524887
G1139,0,0.015384615
G1140,0,0.004
G1141,0,0.014567266
G1142,0,0.006493506
G1143,0,0.009950249
G1144,0,0.009287926
G1145,0,0.016115352
G1146,0,0.001199041
G1147,0,0.01946472
G1148,0,0.008333333
G1149,0,0.006060606
G1150,0,0.007113821
G1151,0,0.001666667
G1152,0,0.006666667
G1153,0,0.00281294
G1154,0,0.006410256
G1155,0,0.020364416
G1156,0,0.002136752
G1157,0,0.006747638
G1158,0,0.003508772
G1159,0,0.003115265
G1160,0,0.003401361
G1161,0,0.011494253
G1162,0,0.009090909
G1163,0,0.010526316
G1164,0,0.015463918
G1165,0,0.004028197
G1166,0,0.002688172
G1167,0,0.002136752
G1168,0,0.003933137
G1169,0,0.001806685
G1170,0,0.005200946
G1171,0,0.005555556
G1172,0,0.003753754
G1173,0,0.004748338
G1174,0,0.000759301
G1175,0,0.004528986
G1176,0,0.006116208
G1177,0,0.003527337
G1178,0,0.004830918
G1179,0,0.001466276
G1180,0,0.00623053
G1181,0,0.01369863
G1182,0,0.000893655
G1183,0,0.009178744
G1184,0,0.002309469
G1185,0,0.023255814
G1186,0,0.004535147
G1187,0,0.00170068
G1188,0,0.02
G1189,0,0.006369427
G1190,0,0.006802721
G1191,0,0.005464481
G1192,0,0.003831418
G1193,0,0.002943341
G1194,0,0.003673095
G1195,0,0.002710027
G1196,0,0.003079292
G1197,0,0.000900901
G1198,0,0.000794597
G1199,0,0.000848176
G1200,0,0.00621118
G1201,0,0.010954617
G1202,0,0.006410256
G1203,0,0.013020833
G1204,0,0.006410256
G1205,0,0.009070295
G1206,0,0.004273504
G1207,0,0.0078125
G1208,0,0.001851852
G1209,0,0.000938967
G1210,0,0.004287245
G1211,0,0.001841621
G1212,0,0.003731343
G1213,0,0.002754821
G1214,0,0.011811024
G1215,0,0.002754821
G1216,0,0.004830918
G1217,0,0.000898473
G1218,0,0.00154679
G1219,0,0.003289474
G1220,0,0.009009009
G1221,0,0.01986755
G1222,0,0.001312336
G1223,0,0.003603604
G1224,0,0.005376344
G1225,0,0.007532957
G1226,0,0.010185185
G1227,0,0.00862069
G1228,0,0.011695906
G1229,0,0.017857143
G1230,0,0.006344558
G1231,0,0.006756757
G1232,0,0.006802721
G1233,0,0.001237624
G1234,0,0.001173709
G1235,0,0.00676819
G1236,0,0.001610306
G1237,0,0.00243309
G1238,0,0.00462963
G1239,0,0.002999625
G1240,0,0.00204499
G1241,0,0.00456621
G1242,0,0.014005602
G1243,0,0.003766478
G1244,0,0.015772871
G1245,0,0.00081103
G1246,0,0.004035513
G1247,0,0.001847746
G1248,0,0.007276035
G1249,0,0.006451613
